nombre,latitud,longitud
PARQUE INDUSTRIAL POLO INN,20.253056,-99.915
PARQUE INDUSTRIAL JILOTEPEC,19.979619,-99.528053
PARQUE INDUSTRIAL EL CONVENTO,19.715366,-99.203221
PARQUE INDUSTRIAL EL CONVENTO II,19.704083,-99.215111
PARQUE INDUSTRIAL TREBOL,19.721556,-99.203739
PARQUE INDUSTRIAL PROLOGIS PARK CEDROS,19.707499,-99.20574
PARQUE INDUSTRIAL PROLOGIS CARRIZAL,19.713317,-99.198608
MEGAPARK,19.736205,-99.206204
TEPOZPARK IV,19.73176,-99.21291
CPA LOGISTIC CENTER TEPOTZOTLAN,19.715824,-99.205511
EVOLUTION PARK TEPOTZOTLÁN,19.707141,-99.211695
EVOLUTION PARK LA TEJA,19.734947,-99.212341
PROLOGIS PARK GRANDE,19.732274,-99.216712
TEPOTZOTLAN PARK,19.709968,-99.206915
TEPOZPARK I,19.739823,-99.226275
TEPOZPARK II,19.73624,-99.225065
TEPOZPARK III,19.737482,-99.223349
TEPOZPARK V,19.732715,-99.209645
PARQUE INDUSTRIAL ATLACOMULCO,19.787093,-99.895725
PARQUE INDUSTRIAL SANTA BARBARA,19.777772,-99.873842
CONJUNTO INDUSTRIAL PASTEJE,19.658335,-99.795567
PARQUE INDUSTRIAL IXTLAHUACA,19.578065,-99.762426
PARQUE INDUSTRIAL SANTA MARGARITA,19.588359,-99.751917
FRACCIONAMIENTO INDUSTRIAL EL PEDREGAL,19.567992,-99.261259
ZONA INDUSTRIAL PROF. CRISTOBAL HIGUERA Y/ ATIZAPÁN CENTRO,19.567887175566717,-99.26117917653865
ATIZAPAN PARK,19.539376,-99.285799
ATIZAPARK,19.583509,-99.225772
PARQUE INDUSTRIAL EXPORTECI,19.336182,-99.584144
PARQUE INDUSTRIAL EXPORTEC,19.336182,-99.584144
PARQUE INDUSTRIAL INN,19.376309,-99.563077
PARQUE INDUSTRIAL SAN ANTONIO BUENAVISTA,19.303055,-99.613766
PARQUE INDUSTRIAL SAN CAYETANO,19.419965,-99.716462
PARQUE INDUSTRIAL EL COECILLO,19.298402,-99.57912
PARQUE INDUSTRIAL TOLUCA 2000,19.385794,-99.571092
PARQUE INDUSTRIAL TOLUCA,19.327779,-99.661071
PARQUE INDUSTRIAL VESTA PARK TOLUCA 1,19.374827,-99.581554
PARQUE INDUSTRIAL VESTA PARK TOLUCA 2,19.383018,-99.563264
CORREDOR INDUSTRIAL TOLUCA,19.299512,-99.583138
TOLUCA PARK,19.292374,-99.535416
FRONTIER TOLUCA,19.375532,-99.558864
MARAVILLAS PARK,19.347131,-99.588845
TOLUCAPARK DOÑA ROSA,19.290465,-99.544244
ADVANCE TOLUCA,19.296003,-99.575542
ESTRELLA PARK,19.301458,-99.612171
PROLOGIS PARK TOLUCA II,19.369675,-99.565844
CORREDOR INDUSTRIAL LERMA,19.289741,-99.551966
LOGISTIC CENTER TOLUCA,19.289085,-99.543958
PARQUE INDUSTRIAL CERRILLO I,19.296566,-99.539353
PARQUE INDUSTRIAL CERRILLO II,19.308661,-99.531326
PARQUE INDUSTRIAL FRISA (DONA ROSA),19.288357,-99.537218
PARQUE INDUSTRIAL LERMA,19.289923,-99.552074
PROLOGIS PARK TOLUCA,19.297611,-99.546366
LERMA LITOS,19.292462,-99.553633
LERMA PARK I,19.291388,-99.545393
LERMA PARK II,19.287632,-99.520752
POLARIS,19.308066,-99.557133
PARQUE INDUSTRIAL LA BOMBA,20.563507,-100.249748
CONDOTER PARK,19.305699,-99.553429
LA BOMBA,19.308779,-99.537436
LOGICENTER LERMA I,19.316996,-99.542229
LOGICENTER LERMA II,19.291061,-99.530099
PARQUE CORPORATIVO,19.3022251,-99.559506
"PARQUE INDUSTRIAL ZIPOREX II, LERMA",19.310843,-99.558341
"PARQUE INDUSTRIAL ZIPOREX III, TOLUCA",19.30226,-99.551861
PREMIUM PARK LERMA,19.294754,-99.55524
WORLD PARK LERMA,19.28853,-99.529115
PARQUE AGROINDUSTRIAL SAN ANTONIO LA ISLA,19.175837,-99.576241
PARQUE INDUSTRIAL TENANGO DEL VALLE,19.119336,-99.595146
PARQUE INDUSTRIAL LAS AMÉRICAS,19.849772,-99.238007
PARQUE INDUSTRIAL XALPA DE VILLA HORMES,19.812035,-99.190603
CPA LOGISTIC CENTER HUEHUETOCA,19.894085,-99.241278
PARQUE INDUSTRIAL HUEHUETOCA (ODIH),19.839678,-99.206342
CENTRO LOGISTICO PUENTE GRANDE,19.819191,-99.205352
FRACCIONAMIENTO INDUSTRIAL CUAMATLA,19.662937,-99.197266
FRACCIONAMIENTO INDUSTRIAL SECCIÓN SAN SEBASTIAN XHALA,19.685977,-99.192453
FRACCIONAMIENTO INDUSTRIAL SECCIÓN XHALA,19.686498,-99.184515
PARQUE INDUSTRIAL CUAUTITLÁN,19.667438,-99.19141
PARQUE INDUSTRIAL CUAMATLA,19.664903,-99.199868
PARQUE INDUSTRIAL LA JOYA,19.65794,-99.174547
PARQUE INDUSTRIAL LA LUZ,19.696756,-99.204764
PARQUE INDUSTRIAL SAN MARTIN OBISPO,19.607879,-99.207041
PARQUE INDUSTRIAL SAN MARTIN OBISPO II,19.594962,-99.208438
PARQUE INDUSTRIAL TRES RÍOS,19.695456,-99.204587
PARQUE MICROINDUSTRIAL CUAUTITLÁN IZCALLI,19.689517,-99.200281
PARQUE INDUSTRIAL CAMPUS CUAUTITLÁN I,19.667377,-99.191389
CPA LOGISTIC CENTER SAN MARTIN OBISPO,19.60655,-99.206113
PARQUE INDUSTRIAL CUATITLAN (OCPL),19.673322,-99.233486
PROLOGIS ENCINO LOGISTIC CENTER,19.604939,-99.211979
PROLOGIS IZCALLI,19.709558,-99.193585
PROLOGIS MEZQUITE LOGISTIC CENTER,19.613446,-99.229208
LA LAGUNA INDUSTRIAL PARK,19.687262,-99.2127005
PROLOGIS PARK IZCALLI IV,19.714185,-99.194221
PROLOGIS TERMINAL INTERMODAL LADERO,19.680502,-99.190768
PUENTE MÉXICO I,19.700753,-99.229399
PUENTE MÉXICO II,19.70023,-99.224906
PUENTE MÉXICO III,19.70023,-99.224906
XHALA PARK,19.688962,-99.180503
WORLD PARK CUAUTITLÁN,19.704191,-99.190854
PARQUE INDUSTRIAL TECÁMAC,19.701725,-99.052761
ZONA INDUSTRIAL TECAMAC ZONA NORTE,19.775,-98.975
CONJUNTO INDUSTRIAL CUAUTITLAN I,19.649561,-99.183818
CONJUNTO INDUSTRIAL CUAUTITLAN II,19.65034,-99.183631
PARQUE INDUSTRIAL LA PALMA,19.80293,-98.969699
PARQUE INDUSTRIAL EL TERREMOTO,19.682403,-99.148337
CPA LOGISTIC CENTER CUAUTITLAN,19.684236,-99.150967
CPA LOGISTIC CENTER ESTADO DE MEXICO,19.729954,-99.137099
CUAUTIPARK I,19.661297,-99.185389
CUAUTIPARK II,19.731922,-99.198028
PARQUE INDUSTRIAL EL SABINO,19.682006,-99.196973
PROLOGIS AGAVE LOGISTIC CENTER,19.605677,-99.212183
PROLOGIS LAUREL,19.681845,-99.182624
LOGICENTER CUAUTITLÁN I XHALA,19.696096,-99.185115
PARQUE INDUSTRIAL SAN LORENZO,19.706014,-99.201235
PARQUE LOGÍSTICO EL PERAL,19.708046,-99.191628
PARQUE INDUSTRIAL COACALCO,19.640893,-99.115056
COACALCO PARK,19.622174,-99.077862
MACROCENTRO TULTITLÁN,19.623603,-99.153801
PROLOGIS PARK ALAMOS,19.624415,-99.18072
PARQUE INDUSTRIAL CARTAGENA,19.652187,-99.157656
PARQUE INDUSTRIAL SAN MIGUEL TULTITLÁN,19.639025,-99.137016
PARQUE INDUSTRIAL TULTITLÁN,19.655953,-99.152589
PROLOGIS PARK JLP,19.620412,-99.167778
ZONA INDUSTRIAL CORREDOR LECHERÍA CUAUTITLAN,19.622746,-99.1836
ZONA INDUSTRIAL CORREDOR LÓPEZ PORTILLO TULTITLAN,19.6197,-99.181241
ZONA INDUSTRIAL INDEPENDENCIA,19.619085,-99.173872
ZONA INDUSTRIAL RECURSOS HIDRÁULICOS,19.622456,-99.177488
EVOLUTION PARK CARTAGENA,19.648619,-99.154872
MEXIQUENSE PARK,19.641735,-99.14226
PROLOGIS FRESNO,19.620452,-99.167767
TULTIPARKI,19.618461,-99.185608
TULTIPARK II (LA PURÍSIMA),19.634067,-99.152229
TULTIPARK III,19.63961,-99.145479
TULTIPARK IV,19.64289,-99.14474
TULTITLÁN II,19.595918,-99.182465
MACROCENTRO TULTITLÁN II,19.628459,-99.152077
MACROCENTRO TULTITLAN III,19.623378,-99.158123
TULTIPARK 7,19.634282,-99.153412
TULTIPARK 8,19.632738,-99.153272
TULTIPARK 9,19.621236,-99.154308
WORLD PARK TULTITLAN I,19.655831,-99.16327
WORLD PARK TULTITLAN II,19.645908,-99.136748
MULTIALMACENES LOGISTICOS TULTITLÁN,19.640634,-99.149406
MULTIPARK,19.627926,-99.140356
